url,index,error_msg,analysis_raw
6lbg575tZ80,384,timed out,"{""summary"":""신인균은 쿠팡 사태를 미국의 개입과 중국의 영향력 확대가 결합된 ‘국가 안보 위협’으로 해석하며, 중국 기업(알리, 테무)과 정부의 친중 정책을 비판하고 국민에게 불매·반중 행동을 촉구한다."",""emotional_tone"":9,""key_entities"":[""신인균"",""쿠팡"",""알리(Alibaba)"",""테무(Tmall)"",""중국"",""미국"",""국민의힘"",""민주당"",""이재명"",""국가정보원"",""선관위""],""context_bridge"":""영상은 ‘쿠팡 사태’가 단순한 기업 문제를 넘어 미국·중국 대립의 한 축으로 재해석한다. 신인균은 쿠팡이 ‘국가 기업’으로서 보호받아야 할 자산이며, 중국 기업이 개인정보와 물류망을 통해 한국 안보를 침해하고 있다고 주장한다. 이를 바탕으로 ‘불매·반중’ 행동을 촉구하고, 정부·정당이 친중·중국 기업을 지지하는 현상을 비판한다. 댓글은 이 논리를 지지하거나 반박하며, 강한 분노·지지·조롱이 뒤섞인 감정적 반응을 보인다. 이 구조는 ‘국가 안보·경제’와 ‘중국·미국’ 이데올로기 대립을 중심으로 전개된다.""}"
a_K5atpp7ik,386,Unterminated string starting at: line 1 column 8378 (char 8377),"{""summary"":""The video argues that China faces three unsolvable problems and questions whether South Korea should continue to maintain a pro‑China stance despite these issues."",""emotional_tone"":9,""key_entities"":[""신인균"",""김재명"",""김현지"",""윤석열"",""민주당"",""여야"",""중국"",""중공"",""중국인"",""중국산"",""중국산 농수산물"",""중국산 제품"",""중국"",""중국인"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중국"",""중수"",""중수"",""중수"",""중수"",""중수"",""중수"",""중수"",""중수"",""중수"",""중수"",""중수"",""중수"",""중수"",""중수"",""중수"",""중수"",""중수"",""중수"",""중수"",""중수"",""중수"",""중수..."",""지금..."",""지정..."",""지정..."",""지수..."",""지수..."",""지수...………………………………………………………………………………수………수……수……수……수……수……신………수……수……수……수……수……수……수……수……수……수……수…이……………………………………………수………수……수…수……수…수…………………………………………………………………………………"
ECyCpkeP9ig,399,timed out,"{""summary"":""The video argues that a successful martial law would empower Kim Eun‑hee’s relatives and create opportunities for Deep Seek, while rallying support for Kim Eojun and the Democratic Party."",""emotional_tone"":8,""key_entities"":[""Kim Eojun"",""Kim Eun‑hee"",""Lee Jae‑myung"",""Yoon Seok‑ryeol"",""Kim Hyun‑jong"",""Park Tae‑woong"",""Park Dae‑woong"",""OPQR"",""Seoul's Voice"",""Deep Seek"",""Kim Eun‑hee's aunts""],""context_bridge"":""The video presents a hypothetical scenario in which martial law succeeds, suggesting that this would elevate Kim Eun‑hee’s relatives and open avenues for Deep Seek, thereby strengthening Kim Eojun’s political influence and the Democratic Party’s position. The comments overwhelmingly express partisan support, praising the host, journalists, and the platform, while voicing anger toward opposition figures such as Yoon Seok‑ryeol. The narrative frames the debate as a struggle for democratic values, positioning the host and journalists as champions of transparency and accountability. The emotional tone is highly supportive and enthusiastic, with occasional frustration at opposition, reflecting a strong sense of community and solidarity among supporters who frequently thank the platform and call for continued engagement.""}"
ai0X3BqenpI,415,timed out,"{""summary"":""The episode claims the prosecutor system is corrupt—using the 50 billion‑won scandal as evidence—and urges viewers to back Lee Jae‑myung and Kim Eojun as reformers who can bring a clean, democratic government."",""emotional_tone"":9,""key_entities"":[""Kim Eojun"",""Lee Jae‑myung"",""Jeong Se‑hyun"",""Han Dong‑hoon"",""Gwak Sang‑do"",""Cho Kuk"",""Jeong Bong‑ju"",""정세현 장관"",""정세현 전장관"",""정세현 선생""],""context_bridge"":""The video presents a narrative that the current prosecutor system is corrupt, citing the 50 billion‑won scandal as proof. It frames Lee Jae‑myung and Kim Eojun as the only viable reformers, calls for public support for them, and advocates for constitutional amendments to prevent prosecutors from entering politics, thereby aiming to establish a cleaner, more democratic governance structure.""}"
wFxeUBmy4yk,417,"Expecting ',' delimiter: line 1 column 909 (char 908)","{""summary"":""The video portrays the current South Korean political landscape as deeply corrupt and demands swift impeachment of key figures while rallying support for certain politicians, framing the struggle as a battle between a corrupt establishment and a hopeful reformist movement."",""emotional_tone"":9,""key_entities"":[""김어준"",""한동훈"",""우원식"",""윤석열"",""이재명"",""정청래"",""김건희"",""박주민"",""김병주"",""트럼프"",""삼부"",""국힘당"",""민주당""],""context_bridge"":""The video’s logic follows a three‑step narrative: (1) it accuses prominent right‑wing figures (e.g., 한동훈, 윤석열, 김건희) of corruption and calls for their impeachment; (2) it praises left‑leaning or reformist politicians (e.g., 김어준, 이재명, 정청래, 박주민) as saviors of democracy; (3) it urges the public to support these reformists and to push for systemic changes such as media reform and special investigations, framing the debate as a moral choice between a corrupt status‑quo and a hopeful future."")"
IghcYKSGZNA,424,timed out,"{""summary"":""The video portrays Lee Jae‑myung as a victim of political persecution and urges viewers to support his continued fasting and fight against the prosecution, positioning Kim Eo‑jun as a champion of his cause."",""emotional_tone"":9,""key_entities"":[""Kim Eo‑jun"",""Lee Jae‑myung"",""Jeon Hyeon‑hee"",""Democratic Party (민주당)"",""National Human Rights Commission (인권위원회)"",""Public Procurement Service (공수처)"",""Prosecutors (검사)"",""President Yoon Suk‑yeol (윤석열)"",""Park Gwang‑on (박광온)"",""Park Tae‑woong (박태웅)"",""Korean people (국민)"",""Korea (한국)""],""context_bridge"":""The video frames Lee Jae‑myung’s fasting as a political protest against a corrupt prosecution system, positioning Kim Eo‑jun as a media ally who amplifies the narrative of injustice. It presents a binary conflict between the Democratic Party’s fight for democratic values and the ruling party’s alleged misuse of power, urging viewers to support Lee’s cause and criticize the prosecutors. The comments reinforce this narrative with strong emotional support, calling for Lee’s health, urging him to continue fasting, and praising the host and Jeon Hyeon‑hee as defenders of democracy.""}"
JWtGDIxNRso,461,timed out,"{""summary"":""국민의힘이 비상계엄 사과를 릴레이하며 현역 지자체장까지 참여, 정치적 책임과 사과를 강조한다."",""emotional_tone"":9,""key_entities"":[""장동혁"",""한동훈"",""윤석열"",""권영진"",""오세훈"",""국민의힘"",""민주당"",""계엄""],""context_bridge"":""영상은 국민의힘이 비상계엄에 대한 사과를 릴레이 형태로 진행하며 현역 지자체장까지 참여시켜 정치적 책임을 강조한다. 댓글은 극단적 분노와 지지, 조롱이 뒤섞인 형태로, 일부는 장동혁·한동훈 등 특정 인물에 대한 지지를 표명하고, 다른 일부는 비상계엄의 부당함과 정치적 책임을 요구하며, 전반적으로 감정적 휘발성이 매우 높다. 이 논리 구조는 사과를 통한 신뢰 회복을 주장하면서도, 댓글에서 나타난 반대와 지지의 극단적 반응이 정치적 갈등을 부각시키는 형태이다.""}"
1HIBmRkPAe0,547,Unterminated string starting at: line 1 column 304 (char 303),"{""summary"":""The video accuses 신동욱 of incompetence and treason, portraying him as a traitorous politician who is being publicly shamed and beaten by opposition figures 최혁진 and 박균택."",""emotional_tone"":9,""key_entities"":[""신동욱"",""최혁진"",""박균택"",""국짐당"",""민주당"",""나경원"",""추경호"",""내란당"",""법사위"",""특검"",""고소"",""국회""],""context_bridge"":""The clip frames 신동욱 as an incompetent, traitorous member of the National Assembly, labeling him a ‘내란공범’ (insurrection accomplice) and calling for legal action such as a special prosecutor (특검) and lawsuit (고소). It juxtaposes him with opposition leaders 최혁진 and 박균택, suggesting they are publicly humiliating him. The surrounding comments echo this narrative, expressing intense anger, demanding his removal, praising the opposition figures, and urging legal accountability. The political backdrop involves a clash between opposition parties (민주당, 국짐당) and the national legislature, with accusations of treason and calls for institutional reform.”}"
DRAm2x_CuzI,619,timed out,"{""summary"":""The video argues that Somalia’s collapse into a failed state was caused by clan fragmentation, piracy, militia rule, and foreign interference, using humor to highlight the tragedy."",""emotional_tone"":8,""key_entities"":[""Somalia"",""North Korea"",""Islamic State"",""Al Qaeda"",""Somali government"",""Somali militia"",""Somali pirates"",""Somaliland"",""Ethiopia"",""Eritrea"",""United Kingdom"",""Italy"",""Libya"",""United States"",""Korea"",""3수자"",""지식해적단"",""침투부"",""침수자"",""노노그램"",""보츠와나""],""context_bridge"":""The video constructs a causal chain: colonial legacy and clan-based politics weaken state institutions, leading to the rise of piracy and militia rule. Foreign interventions (US, UK, etc.) further fragment authority, resulting in Somalia’s status as a failed state. The narrative is framed with comedic elements—such as a North Korea comparison—to underscore the tragedy, while comments reflect high frustration, sarcasm, and support for the channel and its broader discussion of failed states.""}"
BgjMcdU6jLk,632,timed out,"{""summary"":""The video argues that humans uniquely perceive red because of trichromatic vision, and that this biological sensitivity has historically made red a powerful symbol in politics, culture, and art."",""emotional_tone"":7,""key_entities"":[""Stalin"",""Red Army"",""Soviet Union"",""Communist Party"",""Joseon King""],""context_bridge"":""The video first explains the optical and neurological basis for human red‑color vision, contrasting it with other species’ photoreceptor systems. It then traces red’s symbolic journey—from ancient associations with blood, life, and death to its adoption as a revolutionary and national emblem in various cultures. By linking the biological visibility of red to its emotional resonance, the video shows how this color became a potent political symbol, especially in communist and revolutionary contexts, and how it continues to influence modern flags, flags, and visual rhetoric.""}"
qs9woVE10x0,732,timed out,"{""summary"":""영상은 김현지와 김남국을 ‘손절’하고 특검·국정농단을 요구하며 그들을 부정적으로 비판한다."",""emotional_tone"":9,""key_entities"":[""김현지"",""김남국"",""고성국TV"",""특검"",""국정농단""],""context_bridge"":""영상은 김현지와 김남국이 부정·부패에 연루된 인물로 묘사하며, ‘특검’과 ‘국정농단’이라는 키워드를 통해 그들의 행위를 비난한다. 댓글에서는 ‘유탄’이라는 은유를 사용해 그들을 공격하고, ‘특검’·‘국정농단’ 요구를 반복하며 분노와 조롱이 극대화된 토론 구조를 보인다.""}"
buMVSw_E9U8,790,Unterminated string starting at: line 1 column 383 (char 382),"{""summary"":""The video claims that Jo Se‑ho’s close friend is a gangster, using this allegation to suggest a wider corruption network involving the prosecutor’s office, judiciary, and media, and urging a withdrawal or ‘줄하차’ from the current system."",""emotional_tone"":9,""key_entities"":[""조세호"",""조희대"",""쿠팡"",""검찰"",""사법부"",""언론"",""윤석열"",""김건희"",""내란"",""검찰 캐비넷"",""줄하차"",""조세호 친구"",""내란당""],""context_bridge"":""The video frames a personal allegation—Jo Se‑ho’s friend being a gangster—as evidence of systemic corruption that extends to the prosecutor’s office, judiciary, and media. It then calls for a ‘줄하차’ (withdrawal or cut‑off) from the current system, implying complicity by President Yoon Se‑kyul and his wife. The comments reinforce this narrative by demanding judicial and media reform, accusing the prosecutor’s office of cover‑ups, and linking the issue to a broader ‘내란’ (internal rebellion) movement. The logical structure follows: personal allegation → systemic corruption claim → call for reform and withdrawal.”}"
WtT3J30VM6s,820,Unterminated string starting at: line 1 column 177 (char 176),"{""summary"":""조세호가 ‘조폭 친분설’에 대해 ‘거짓’이라고 반박하며, 자신과 범죄 조직과의 관계가 없음을 주장한다."",""emotional_tone"":9,""key_entities"":[""조세호"",""YTN"",""박나래"",""전현무"",""유재석"",""김구라"",""조진웅"",""조씨"",""조폭""],""context_bridge"":""영상은 조세호가 ‘조폭 친분설’에 대한 보도를 반박하며, 자신이 범죄 조직과의 관계가 없음을 강조한다. 반면 댓글에서는 ‘조세호’와 ‘조폭’ 간의 인맥을 의심하고, 다른 연예인(박나래, 전현무, 유재석 등)과의 관계를 비판하며, 보도와 반박 사이에서 극단적 감정이 분출한다. 이 논리 구조는 언론 보도와 연예인 신뢰성, 그리고 대중의 감정적 반응이 얽힌 정치적·사회적 맥락을 반영한다."
5daCQguOwxE,826,timed out,"{""summary"":""The video alleges that actress Park Na‑rae may be legally entangled over alleged illegal drug prescriptions and injections, sparking public outrage and demands for investigation."",""emotional_tone"":9,""key_entities"":[""박나래"",""주사이모"",""조희대"",""조세호"",""조진웅"",""YTN"",""Supreme Court"",""National Security Law""],""context_bridge"":""The clip frames Park Na‑rae’s alleged use of a ‘injection aunt’ to obtain illicit prescriptions and injections as a violation of medical and drug laws.  Viewers interpret this as a broader scandal of celebrity misconduct, prompting intense anger, calls for legal action, and political references to the National Security Law and Supreme Court.  The narrative links the personal allegations to systemic concerns about accountability and regulatory enforcement in the entertainment industry.""}"
